real	predict	diff	diff 
			0
51770	52114.81472	0.09578187	0.09578187
21327	21773.78564	0.12410712	0.12410712
180	-704.1050203	-0.24558473	0.24558473
20101	21802.45861	0.47262739	0.47262739
11473	9684.52447	-0.49679876	0.49679876
580	2511.498925	0.53652748	0.53652748
59314	61469.72419	0.59881228	0.59881228
20979	23986.09423	0.83530395	0.83530395
269025	272160.8041	0.87105669	0.87105669
1145	-2055.010188	-0.88889172	0.88889172
137	-3207.756907	-0.92909914	0.92909914
767	-2590.017975	-0.93250499	0.93250499
143374	146912.7474	0.98298538	0.98298538
18135	21773.78564	1.01077379	1.01077379
18146	14333.49307	-1.0590297	1.0590297
1500	5462.896297	1.10080453	1.10080453
173	4379.408847	1.1684469	1.1684469
676	-4268.144068	-1.37337335	1.37337335
200	-5313.768119	-1.53160226	1.53160226
171	-5407.55906	-1.54959974	1.54959974
58	5811.404148	1.59816782	1.59816782
20364	26229.97183	1.62943662	1.62943662
139953	133713.9065	-1.73308152	1.73308152
3216	-3078.839151	-1.74856643	1.74856643
75518	69079.50997	-1.78846945	1.78846945
1563	8414.29367	1.90313713	1.90313713
330	-6877.916879	-2.00219913	2.00219913
69929	62469.99127	-2.07194687	2.07194687
292	7840.859328	2.09690537	2.09690537
28301	36265.2895	2.21230264	2.21230264
19416	27676.58038	2.29460566	2.29460566
1288	9999.620109	2.41989447	2.41989447
14687	23472.89837	2.44052732	2.44052732
24764	15870.99089	-2.47028031	2.47028031
101079	110083.6579	2.50129385	2.50129385
32423	23338.67445	-2.52342376	2.52342376
91968	82231.96184	-2.70445504	2.70445504
551	-9659.713161	-2.83630921	2.83630921
18893	8414.29367	-2.91075176	2.91075176
20639	9902.727424	-2.98229794	2.98229794
35074	46027.23346	3.04256485	3.04256485
3661	-7376.927621	-3.06609101	3.06609101
5553	16823.43209	3.13067558	3.13067558
225	11829.50063	3.2234724	3.2234724
16809	5101.79253	-3.25200207	3.25200207
26719	38780.64248	3.35045624	3.35045624
26714	38780.64248	3.35184513	3.35184513
268353	280599.4313	3.40178648	3.40178648
75111	62688.9622	-3.45056605	3.45056605
2809	15637.68864	3.56352462	3.56352462
100	-13648.90524	-3.81914034	3.81914034
209	-13852.08543	-3.90585706	3.90585706
699	15044.68619	3.98491283	3.98491283
27354	12714.79533	-4.06644574	4.06644574
13723	28406.34911	4.07870809	4.07870809
125	-14805.81004	-4.14744723	4.14744723
102377	87158.68636	-4.22730934	4.22730934
66308	82179.9366	4.40887128	4.40887128
768	17134.70137	4.54630594	4.54630594
148044	164576.582	4.59238388	4.59238388
5913	-10755.07786	-4.63002163	4.63002163
909	18670.21411	4.93367059	4.93367059
18251	36171.00816	4.97778004	4.97778004
56015	74144.35544	5.03593207	5.03593207
3597	22332.85171	5.20440325	5.20440325
7683	27285.95768	5.44526602	5.44526602
243148	262951.6584	5.50101623	5.50101623
6130347	6150476.284	5.59146787	5.59146787
2611	23395.70413	5.77352893	5.77352893
485411	506557.6597	5.87407214	5.87407214
57905	36519.42755	-5.94043679	5.94043679
92406	70926.29199	-5.96658556	5.96658556
196	21820.82186	6.00689496	6.00689496
161	-21474.472	-6.00985333	6.00985333
1339	23013.73171	6.02075881	6.02075881
29371	51056.71172	6.02380881	6.02380881
6464	28167.14249	6.02865069	6.02865069
1186	22959.698	6.04824944	6.04824944
19280	41054.18885	6.04838579	6.04838579
72242	49801.44086	-6.23348865	6.23348865
1341917	1364807.737	6.35853808	6.35853808
11728	35254.48182	6.53513384	6.53513384
33800	10226.48148	-6.54819959	6.54819959
6072	29701.6104	6.56378067	6.56378067
3512	27253.09626	6.59474896	6.59474896
167618	191706.5361	6.69126003	6.69126003
4219	28861.09456	6.84502627	6.84502627
5324	29972.2202	6.84672783	6.84672783
5657	30307.06621	6.84724061	6.84724061
20428	-4429.510534	-6.90486404	6.90486404
154	25670.63895	7.08795526	7.08795526
378141	352367.7223	-7.15924381	7.15924381
18	26171.25577	7.26479327	7.26479327
41	27611.3309	7.65842525	7.65842525
198	27909.11233	7.6975312	7.6975312
108	27909.11233	7.7225312	7.7225312
